"","Ingles","Espanol"
"3617","boss","jefe"
"3618","congress","congreso"
"3619","we live","vivimos"
"3620","we will have","tendrã­amos"
"3621","face","enfrentarse"
"3622","soldiers","soldados"
"3623","we voted","votamos"
"3624","coverage","cobertura"
"3625","underlined","subrayado"
"3626","contract","contrato"
"3627","provide","brinda"
"3628","lite","lite"
"3629","circumstance","circunstancia"
"3630","aboliciã","aboliciã"
"3631","delay","demora"
"3632","understandable","comprensible"
"3633","power","potencia"
"3634","tendrãan","tendrã­an"
"3635","observed","observado"
"3636","complementary","complementaria"
"3637","committed","cometidos"
"3638","seriously","gravemente"
"3639","Web","web"
"3640","excellent","excelentes"
"3641","confirmed","confirmado"
"3642","emerged","surgido"
"3643","informed","informados"
"3644","leaving","dejando"
"3645","started","comenzado"
"3646","promise","promesa"
"3647","to urge","instar"
"3648","he drives","conduce"
"3649","external","externos"
"3650","research","investigar"
"3651","ways","maneras"
"3652","apply","aplicarã"
"3653","use","utilicen"
"3654","absurd","absurdo"
"3655","Name (s","nombres"
"3656","salary","salario"
"3657","speak","hablan"
"3658","dream","sueã"
"3659","remembered","recordado"
"3660","feeling","sentimiento"
"3661","throw","lanzar"
"3662","with me","conmigo"
"3663","coalition","coaliciã"
"3664","lidos","lidos"
"3665","has","posee"
"3666","habrãan","habrã­an"
"3667","lesson","lecciã"
"3668","excessively","excesivamente"
"3669","concepts","conceptos"
"3670","sustainable","sostenibles"
"3671","mentioned","mencionados"
"3672","create","crean"
"3673","agrarian","agraria"
"3674","carry off","llevarse"
"3675","stage","escenario"
"3676","integral","integral"
"3677","Interesting","interesantes"
"3678","dotaciã","dotaciã"
"3679","ideolã","ideolã"
"3680","cofinancing","cofinanciaciã"
"3681","hipã","hipã"
"3682","adopt","adopta"
"3683","reductions","reducciones"
"3684","arab","rabe"
"3685","resolved","resuelto"
"3686","discipline","disciplina"
"3687","current","corriente"
"3688","mociã","mociã"
"3689","hubiã","hubiã"
"3690","they come","vienen"
"3691","accusations","acusaciones"
"3692","secret","secreto"
"3693","precisiã","precisiã"
"3694","concessions","concesiones"
"3695","contributes","aporta"
"3696","determined","determinada"
"3697","tensions","tensiones"
"3698","center","centrar"
"3699","acquire","adquirir"
"3700","zero","cero"
"3701","Swedish","sueco"
"3702","disagreement","desacuerdo"
"3703","continue","continãºan"
"3704","fear","temor"
"3705","press","presionar"
"3706","platform","plataforma"
"3707","railways","ferrocarriles"
"3708","understanding","entendimiento"
"3709","drug","droga"
"3710","deaths","muertes"
"3711","lidas","lidas"
"3712","we oppose","oponemos"
"3713","surprise","sorprende"
"3714","broad","amplias"
"3715","individuals","individuos"
"3716","deputy","diputada"
"3717","multiple","mãºltiples"
"3718","indicate","indican"
"3719","secretarãa","secretarã­a"
"3720","wars","guerras"
"3721","preceding","precedente"
"3722","supporters","partidarios"
"3723","restlessness","inquietud"
"3724","cross border","transfronterizo"
"3725","appears","aparece"
"3726","tribute","homenaje"
"3727","tibet","tã­bet"
"3728","limited","escasa"
"3729","returns","vuelve"
"3730","undoubtedly","indudablemente"
"3731","assist","asistir"
"3732","helsinki","helsinki"
"3733","answer","responda"
"3734","make sure","asegurarse"
"3735","relevant","relevantes"
"3736","support","apoyarã"
"3737","messages","mensajes"
"3738","complexity","complejidad"
"3739","successes","xitos"
"3740","adjustment","ajuste"
"3741","former","ex"
"3742","submit","someter"
"3743","civilization","civilizaciã"
"3744","translation","traducciã"
"3745","firm","firmes"
"3746","consent","consentimiento"
"3747","Estonia","estonia"
"3748","pondrã","pondrã"
"3749","tampere","tampere"
"3750","again","nuevamente"
"3751","fishing","pesqueras"
"3752","customers","clientes"
"3753","occupy","ocupar"
"3754","respective","respectivos"
"3755","sentences","sentencias"
"3756","course","transcurso"
"3757","to declare","declarar"
"3758","connection","conexiã"
"3759","respecting","respetando"
"3760","objections","objeciones"
"3761","toys","juguetes"
"3762","Latvia","letonia"
"3763","would have","hubieran"
"3764","exclusive","exclusiva"
"3765","catch","capturas"
"3766","suppose","supondrã­a"
"3767","letter","letra"
"3768","try","intentan"
"3769","receive","reciban"
"3770","to","alã"
"3771","mere","mera"
"3772","coherent","coherentes"
"3773","Greek","griega"
"3774","administrative","administrativo"
"3775","Russians","rusos"
"3776","come","venir"
"3777","benefits","beneficia"
"3778","living place","vivienda"
"3779","protectionism","proteccionismo"
"3780","referendum","referendo"
"3781","existing","existiendo"
"3782","forestry","forestales"
"3783","we had","tenã­amos"
"3784","section","secciã"
"3785","devoluciã","devoluciã"
"3786","blocking","bloqueo"
"3787","frankly","francamente"
"3788","toward","haciã"
"3789","component","componente"
"3790","pesc","pesc"
"3791","take yourself","tomarse"
"3792","guarantee","garantizarã"
"3793","it will take","tomarã"
"3794","contributions","aportaciones"
"3795","limit","limitarse"
"3796","answered","respondido"
"3797","renewable","renovable"
"3798","surprising","sorprendente"
"3799","sad","triste"
"3800","continuous","continuo"
"3801","enters","entra"
"3802","dead","muertos"
"3803","kioto","kioto"
"3804","deterioration","deterioro"
"3805","relevant","relevante"
"3806","border","fronterizos"
"3807","timor","timor"
"3808","dangerous","peligrosa"
"3809","ideal","ideal"
"3810","implications","implicaciones"
"3811","purchase","compra"
"3812","manifest","manifiesta"
"3813","presidencies","presidencias"
"3814","we regret","lamentamos"
"3815","we recognize","reconocemos"
"3816","return","retorno"
"3817","guengl","guengl"
"3818","fr","frã"
"3819","Finnish","finlandesa"
"3820","feel","sienten"
"3821","share","comparten"
"3822","leave","dejan"
"3823","make","efectuar"
"3824","will benefit","beneficiarã"
"3825","called","denominado"
"3826","remains","quedã"
"3827","instability","inestabilidad"
"3828","emphasize","recalcar"
"3829","african","africana"
"3830","omg","omg"
"3831","tanos","tanos"
"3832","expansiã","expansiã"
"3833","sensitivity","sensibilidad"
"3834","cycle","ciclo"
"3835","complaints","quejas"
"3836","put","puso"
"3837","postcards","postales"
"3838","phases","fases"
"3839","Supervise","supervisar"
"3840","compatible","compatible"
"3841","that","aquella"
"3842","produced","produjo"
"3843","enter into","entablar"
"3844","realistic","realistas"
"3845","directed","encaminada"
"3846","adopting","adoptando"
"3847","collective","colectivos"
"3848","preferences","preferencias"
"3849","taken","asumido"
"3850","suggests","sugiere"
"3851","quarter","cuarta"
"3852","Consult","consultar"
"3853","fake","falsificaciã"
"3854","we pretend","pretendemos"
"3855","preparing","preparando"
"3856","cross border","transfronterizas"
"3857","romanães","romanã­es"
"3858","see","vea"
"3859","he was","estuvo"
"3860","marked","marcado"
"3861","infractions","infracciones"
"3862","reduce","reduce"
"3863","cost","cuesta"
"3864","simultaneous","simultã"
"3865","urges","insta"
"3866","I was","fui"
"3867","I take","tomo"
"3868","unitary","unitaria"
"3869","competitive","competitivo"
"3870","minister","ministra"
"3871","ndalo","ndalo"
"3872","physical","fã­sica"
"3873","pay","paga"
"3874","customs","aduanera"
"3875","moratorium","moratoria"
"3876","credible","creã­ble"
"3877","develop","desarrollarse"
"3878","respect","respetan"
"3879","tell yourself","decirse"
"3880","introduces","introduce"
"3881","speaks","hablã"
"3882","obligate","obligar"
"3883","residents","residentes"
"3884","flexible","flexibles"
"3885","I insist","insisto"
"3886","to dedicate","dedicar"
"3887","expressed","expresadas"
"3888","democracies","democracias"
"3889","open","abiertos"
"3890","bush","bush"
"3891","reliable","fiable"
"3892","taste","gusto"
"3893","acted","actuado"
"3894","solicitous","solicito"
"3895","cells","lulas"
"3896","submitted","sometidos"
"3897","we get","conseguimos"
"3898","substitute","sustituciã"
"3899","victory","victoria"
"3900","juristically","jurã­dicamente"
"3901","empty","vacã­o"
"3902","want","querer"
"3903","occupied","ocupado"
"3904","components","componentes"
"3905","think","opina"
"3906","tens","decenas"
"3907","Exclude","excluir"
"3908","read","leã­do"
"3909","style","estilo"
"3910","dismantling","desmantelamiento"
"3911","openly","abiertamente"
"3912","centered","centrado"
"3913","same","iguales"
"3914","wanted","deseado"
"3915","harmful","perjudiciales"
"3916","focus","centrarnos"
"3917","drift","deriva"
"3918","extraordinary","extraordinario"
"3919","licenses","licencias"
"3920","promised","prometido"
"3921","minimal","nimo"
"3922","Oppose","opone"
"3923","survival","supervivencia"
"3924","school","colegio"
"3925","homes","hogares"
"3926","aging","envejecimiento"
"3927","true","verdaderos"
"3928","semester","semestre"
"3929","enza","enza"
"3930","do they work","funcionan"
"3931","voters","votantes"
"3932","language","lenguaje"
"3933","claims","reclamaciones"
"3934","contrary","contraria"
"3935","remain","queden"
"3936","subjects","sujetos"
"3937","right","acertado"
"3938","indicaciã","indicaciã"
"3939","graphics","ficos"
"3940","started","empezado"
"3941","steel","acero"
"3942","fifty","cincuenta"
"3943","displacement","desplazamiento"
"3944","recess","recesiã"
"3945","we will see","veremos"
"3946","guaranteeing","garantizando"
"3947","Travellers","viajeros"
"3948","deny","niega"
"3949","in charge","encargado"
"3950","legimate","legã­timo"
"3951","imagine","imaginar"
"3952","vienna","viena"
"3953","insufficient","insuficientes"
"3954","we keep","mantenemos"
"3955","forest","forestal"
"3956","recognize","reconozca"
"3957","Algeria","argelia"
"3958","determined","decidida"
"3959","to imply","implicar"
"3960","I know","conozco"
"3961","published","publicado"
"3962","inevitable","inevitable"
"3963","saint","san"
"3964","contribute","contribuya"
"3965","polã","polã"
"3966","accord","acordã"
"3967","damage","perjuicio"
"3968","implantaciã","implantaciã"
"3969","West","occidente"
"3970","postponement","aplazamiento"
"3971","formulated","formuladas"
"3972","Offices","oficinas"
"3973","genocide","genocidio"
"3974","the","the"
"3975","will receive","recibirã"
"3976","course","rumbo"
"3977","Meanwhile","entretanto"
"3978","we will","deberemos"
"3979","childhood","infancia"
"3980","I wanted","quisiã"
"3981","crucial","cruciales"
"3982","give up","renunciar"
"3983","understands","entiende"
"3984","speeches","discursos"
"3985","definite","definido"
"3986","deal","negocio"
"3987","lt","lt"
"3988","we understand","entendemos"
"3989","neatly","neamente"
"3990","Zimbabwe","zimbabue"
"3991","ndole","ndole"
"3992","complementary","complementarias"
"3993","operative","operativo"
"3994","mão","mã­o"
"3995","Stimulus","estã­mulo"
"3996","get","consigue"
"3997","assigned","asignado"
"3998","equivalent","equivalente"
"3999","polish","polacos"
"4000","sixth","sexto"
"4001","potentials","potenciales"
"4002","find","encuentre"
"4003","defended","defendido"
"4004","montenegro","montenegro"
"4005","aforementioned","citado"
"4006","threw out","echo"
"4007","will know","sabrã"
"4008","insists","insiste"
"4009","audit","auditorã­a"
"4010","raised","planteadas"
"4011","convenience","conveniencia"
"4012","preference","preferencia"
"4013","thought","pensamiento"
"4014","ucaso","ucaso"
"4015","reinforces","refuerza"
"4016","prison","prisiã"
"4017","lica","lica"
"4018","we accept","aceptamos"
"4019","drive","conducciã"
"4020","accept","acepte"
"4021","suggestion","sugerencia"
"4022","advanced","avanzada"
"4023","inadmissible","inadmisible"
"4024","they run","corren"
"4025","make up for","compensar"
"4026","equals","equivale"
"4027","affected","afectada"
"4028","sanitary","sanitario"
"4029","hamã","hamã"
"4030","reliability","fiabilidad"
"4031","speculation","especulaciã"
"4032","kinnock","kinnock"
"4033","lend","preste"
"4034","too many","demasiadas"
"4035","take","lleven"
"4036","know","sepa"
"4037","referendums","referendos"
"4038","judge","juzgar"
"4039","Madrid","madrid"
"4040","how many","cuantos"
"4041","police","policiales"
"4042","deny","negar"
"4043","cut","corte"
"4044","electoral","electorales"
"4045","deliberations","deliberaciones"
"4046","humanitarian","humanitario"
"4047","humanitarian","humanitarias"
"4048","I follow","sigo"
"4049","justified","justificada"
"4050","that","aquello"
"4051","label","etiqueta"
"4052","called","llamados"
"4053","Congratulations","felicitaciones"
"4054","enjoy","disfrutar"
"4055","repercussion","repercusiã"
"4056","suffer","sufre"
"4057","happen","ocurra"
"4058","shared","compartida"
"4059","Colombia","colombia"
"4060","coasts","costas"
"4061","modified","modificada"
"4062","explicitly","explã­citamente"
"4063","acting","actuando"
"4064","unemployed","desempleados"
